class,genus,species,synonyms,common_names,status
INSECTA,Chorthippus,ilkazi,,Ilgaz mountain grasshopper,CR
INSECTA,Chorthippus,lacustris,,Epirus grasshopper,CR
INSECTA,Chorthippus,relicticus,,Karaman grasshopper,EN
INSECTA,Chromochokwea,fitzgeraldi,Chokwea fitzgeraldi  ,Ufipa blue-winged grasshopper,VU
INSECTA,Chromomastax,jagoi,,Jagos monkey grasshopper,EN
INSECTA,Chromomastax,movogovodia,,Morogoro monkey grasshopper,CR
INSECTA,Chromousambilla,burtti,,Mpwapwa silent grasshopper,CR
MAMMALIA,Chrotogale,owstoni,,Owston's civet,VU
INSECTA,Chrysochraon,beybienkoi,,,VU
AVES,Chrysocolaptes,erythrocephalus,,Red-headed flameback,EN
AVES,Chrysocolaptes,strictus,,Javan flameback,VU
AVES,Chrysocolaptes,xanthocephalus,,Yellow-faced flameback,EN
AVES,Chrysomma,altirostre,Moupinia altirostris altirostris,Jerdon's babbler,VU
INSECTA,Chrysoritis,cotrelli,,Cotrell's daisy copper,CR
MAMMALIA,Chrysospalax,trevelyani,,Giant golden mole,EN
MAMMALIA,Chrysospalax,villosus,,Rough-haired golden mole,VU
AMPHIBIA,Churamiti,maridadi,,,CR
INSECTA,Cicindela,albissima,,Coral pink sand dunes tiger beetle,CR
INSECTA,Cicindela,columbica,,Columbia River tiger beetle,EN
INSECTA,Cicindela,marginipennis,,Cobblestone tiger beetle,VU
INSECTA,Cicindela,puritana,,Puritan tiger beetle,EN
AVES,Ciconia,boyciana,,Oriental stork,EN
AVES,Ciconia,episcopus,,Asian woollyneck,VU
AVES,Ciconia,stormi,,Storm's stork,EN
AVES,Cinclodes,aricomae,,Royal cinclodes,CR
AVES,Cinclodes,palliatus,,White-bellied cinclodes,CR
AVES,Cinclus,schulzi,Cinclus schulzii schulzii,Rufous-throated dipper,VU
AVES,Cinnyricinclus,femoralis,,Abbott's starling,VU
AVES,Circaetus,beaudouini,,Beaudouin's snake-eagle,VU
AVES,Circus,macrosceles,,Madagascar marsh-harrier,VU
AVES,Circus,maillardi,,Reunion marsh-harrier,EN
AVES,Circus,maurus,,Black harrier,VU
AVES,Cissa,thalassina,,Javan green magpie,CR
AVES,Cisticola,aberdare,,Aberdare cisticola,EN
AVES,Cistothorus,apolinari,,Apolinar's wren,EN
AVES,Clanga,clanga,Aquila clanga,Greater spotted eagle,VU
AVES,Clanga,hastata,Aquila hastata,Indian spotted eagle,VU
AVES,Clangula,hyemalis,,Long-tailed duck,VU
AVES,Claravis,geoffroyi,Claravis godefrida  ,Purple-winged ground-dove,CR
AVES,Cleptornis,marchei,,Golden white-eye,CR
INSECTA,Clonia,lalandei,,Lalande's black-winged clonia,VU
INSECTA,Clonia,uvarovi,,Uvarov's clonia,VU
INSECTA,Clypeodrepanus,striatus,Drepanocerus striatus,,VU
AVES,Clytoctantes,alixii,Clytoctantes alixi alixi,Recurve-billed bushbird,EN
AVES,Clytoctantes,atrogularis,,Rondonia bushbird,VU
AVES,Clytorhynchus,nigrogularis,,Black-throated shrikebill,VU
AVES,Clytorhynchus,sanctaecrucis,,Santa Cruz shrikebill,EN
INSECTA,Clytus,clavicornis,,,VU
INSECTA,Clytus,triangulimacula,,,VU
AVES,Cnipodectes,superrufus,,Rufous twistwing,VU
AVES,Coccyzus,ferrugineus,,Cocos cuckoo,VU
AVES,Coccyzus,rufigularis,Hyetornis rufigularis |Piaya rufigularis rufigularis,Bay-breasted cuckoo,EN
AVES,Cochoa,azurea,,Javan cochoa,VU
AVES,Cochoa,beccarii,,Sumatran cochoa,VU
AMPHIBIA,Cochranella,balionota,Centrolene balionota  |Centrolene balionotum  |Cochranella balionota  ,,VU
AMPHIBIA,Cochranella,mache,,,EN
AMPHIBIA,Cochranella,revocata,Cochranella revocatum  |Hyalinobatrachium revocatum  ,,VU
AMPHIBIA,Cochranella,riveroi,,,VU
AMPHIBIA,Cochranella,xanthocheridia,,,VU
INSECTA,Coeliccia,exoleta,,,VU
INSECTA,Coeliccia,flavostriata,,,VU
INSECTA,Coeliccia,fraseri,,,VU
AVES,Coeligena,consita,,Perija starfrontlet,VU
AVES,Coeligena,orina,,Glittering starfrontlet ,CR
AVES,Coeligena,prunellei,,Black inca,VU
MAMMALIA,Coelops,robinsoni,,Malayan tailless leaf-nosed bat,VU
INSECTA,Coelus,globosus,,Globose dune beetle,VU
INSECTA,Coelus,gracilis,,San Joaquin dune beetle,VU
INSECTA,Coenagriocnemis,insularis,,,CR
INSECTA,Coenagriocnemis,rufipes,,,EN
INSECTA,Coenagrion,intermedium,,Cretan bluet,VU
AVES,Coenocorypha,pusilla,,Chatham snipe,VU
INSECTA,Coenonympha,orientalis,,Balkan heath,VU
AVES,Colaptes,fernandinae,,Fernandina's flicker,VU
MAMMALIA,Coleura,seychellensis,,Seychelles sheath-tailed bat,CR
INSECTA,Colletes,dimidiatus,,,VU
INSECTA,Colletes,merceti,,,EN
INSECTA,Colletes,moricei,,,VU
INSECTA,Colletes,pulchellus,Colletes ibericus  ,,VU
INSECTA,Colletes,sierrensis,,,EN
INSECTA,Colletes,wolfi,,,EN
AVES,Colluricincla,sanghirensis,,Sangihe shrike-thrush,CR
MAMMALIA,Colobus,polykomos,,King colobus,VU
MAMMALIA,Colobus,satanas,,Black colobus,VU
MAMMALIA,Colobus,vellerosus,,White-thighed Colobus,VU
INSECTA,Colophon,barnardi,,,EN
INSECTA,Colophon,berrisfordi,,,CR
INSECTA,Colophon,cameroni,,,VU
INSECTA,Colophon,cassoni,,,CR
INSECTA,Colophon,eastmani,,,EN
INSECTA,Colophon,haughtoni,,,EN
INSECTA,Colophon,montisatris,,,CR
INSECTA,Colophon,neli,,,VU
INSECTA,Colophon,primosi,,,CR
INSECTA,Colophon,stokoei,,,VU
INSECTA,Colophon,thunbergi,,,EN
INSECTA,Colophon,westwoodi,,,VU
INSECTA,Colophon,whitei,,,EN
AMPHIBIA,Colostethus,jacobuspetersi,Colostethus torrenticola  ,,CR
AMPHIBIA,Colostethus,mertensi,,,EN
AMPHIBIA,Colostethus,ruthveni,,,EN
AVES,Columba,argentina,,Silvery pigeon,CR
AVES,Columba,elphinstonii,,Nilgiri woodpigeon,VU
AVES,Columba,eversmanni,,Yellow-eyed pigeon,VU
AVES,Columba,pallidiceps,,Yellow-legged pigeon,VU
AVES,Columba,punicea,,Pale-capped pigeon,VU
AVES,Columba,thomensis,,Sao Tome olive-pigeon,EN
AVES,Columba,torringtoniae,Columba torringtoni ,Sri Lanka woodpigeon,VU
AVES,Columbina,cyanopis,,Blue-eyed ground-dove,CR
AVES,Compsospiza,baeri,,Tucuman mountain-finch,VU
AVES,Compsospiza,garleppi,,Cochabamba mountain-finch,EN
MAMMALIA,Congosorex,phillipsorum,,Phillips' congo shrew,CR
AVES,Conirostrum,margaritae,,Pearly-breasted conebill,VU
AVES,Conirostrum,tamarugense,,Tamarugo conebill,VU
INSECTA,Conocephalus,basutoanus,,Lesotho meadow katydid,EN
INSECTA,Conocephalus,peringueyi,,Peringuey's meadow katydid,VU
INSECTA,Conocephalus,vaginalis,Megalotheca vaginalis,Striped restio katydid,EN
INSECTA,Conocephalus,zlobini,,Zlobin's meadow katydid,VU
AVES,Conopias,cinchoneti,,Lemon-browed flycatcher,VU
AVES,Conothraupis,mesoleuca,,Cone-billed tanager,CR
AMPHIBIA,Conraua,alleni,Pseudoxenopus alleni,Allen's slippery frog,VU
AMPHIBIA,Conraua,derooi,,Togo slippery frog,CR
AMPHIBIA,Conraua,goliath,Rana goliath,Giant slippery frog,EN
AMPHIBIA,Conraua,robusta,,Cameroon slippery frog,VU
AMPHIBIA,Cophixalus,aenigma,,Tapping nursery-frog,VU
AMPHIBIA,Cophixalus,concinnus,,Beautiful nursery-frog,CR
AMPHIBIA,Cophixalus,mcdonaldi,,Mcdonald's frog,EN
AMPHIBIA,Cophixalus,monticola,,Mountain-top nursery-frog,EN
AMPHIBIA,Cophixalus,neglectus,,Neglected frog,EN
AMPHIBIA,Cophixalus,nubicola,,,VU
AMPHIBIA,Cophixalus,saxatilis,,Black mountain boulder frog,VU
AMPHIBIA,Cophyla,berara,,,CR
AMPHIBIA,Copiula,minor,,,VU
AVES,Copsychus,cebuensis,,Black shama,EN
AVES,Copsychus,sechellarum,,Seychelles magpie-robin,EN
INSECTA,Coptottigia,cristata,,Seychelles crested groundhopper,CR
AVES,Coracina,mindanensis,,Black-bibbed cicadabird,VU
AVES,Coracina,newtoni,,Reunion cuckooshrike,CR
AVES,Coracina,ostenta,,White-winged cuckooshrike,VU
AVES,Coracina,typica,,Mauritius cuckooshrike,VU
AVES,Coracopsis,barklyi,,Seychelles parrot,VU
INSECTA,Cordulegaster,helladica,,Greek goldenring,EN
INSECTA,Cordulegaster,sayi,Zoraena sayi  ,Say's spiketail,VU
AVES,Corvus,florensis,,Flores crow,EN
AVES,Corvus,kubaryi,,Mariana crow,CR
AVES,Corvus,leucognaphalus,,White-necked crow,VU
AVES,Corvus,unicolor,,Banggai crow,CR
INSECTA,Coryphagrion,grandis,,,VU
AVES,Coryphaspiza,melanotis,,Black-masked finch,VU
AVES,Cossypha,heinrichi,,White-headed robin-chat,VU
AVES,Cotinga,maculata,,Banded cotinga,EN
AVES,Cotinga,ridgwayi,,Turquoise cotinga,VU
AVES,Coturnicops,exquisitus,,Swinhoe's rail,VU
AVES,Cranioleuca,curtata,,Ash-browed spinetail,VU
AVES,Cranioleuca,henricae,,Bolivian spinetail,EN
AVES,Cranioleuca,marcapatae,,Marcapata spinetail,VU
AVES,Cranioleuca,muelleri,,Scaled spinetail,EN
MAMMALIA,Craseonycteris,thonglongyai,,Hog-nosed bat,VU
MAMMALIA,Crateromys,australis,,Dinagat bushy-tailed cloud rat,CR
MAMMALIA,Crateromys,heaneyi,,Panay crateromys,EN
MAMMALIA,Crateromys,schadenbergi,,Luzon crateromys,EN
AMPHIBIA,Craugastor,alfredi,Eleutherodactylus alfredi,Alfred's rainfrog,VU
AMPHIBIA,Craugastor,anciano,,Corquin robber frog,CR
AMPHIBIA,Craugastor,andi,Eleutherodactylus andi,Atlantic robber frog,CR
AMPHIBIA,Craugastor,angelicus,Eleutherodactylus angelicus  ,Angel robber frog,CR
AMPHIBIA,Craugastor,aphanus,,,VU
AMPHIBIA,Craugastor,aurilegulus,,,EN
AMPHIBIA,Craugastor,azueroensis,,,EN
AMPHIBIA,Craugastor,bocourti,,,VU
AMPHIBIA,Craugastor,brocchi,,,VU
AMPHIBIA,Craugastor,catalinae,Eleutherodactylus  catalinae,,CR
AMPHIBIA,Craugastor,charadra,,,EN
AMPHIBIA,Craugastor,coffeus,Eleutherodactylus coffeus,,CR
AMPHIBIA,Craugastor,cruzi,Eleutherodactylus cruzi,Cruz robber frog,CR
AMPHIBIA,Craugastor,daryi,,,EN
AMPHIBIA,Craugastor,decoratus,Eleutherodactylus hidalgoensis  ,,VU
AMPHIBIA,Craugastor,emcelae,Eleutherodactylus emcelae,Rio Claro robber frog,CR
AMPHIBIA,Craugastor,emleni,Eleutherodactylus emleni  ,,CR
AMPHIBIA,Craugastor,epochthidius,,,CR
AMPHIBIA,Craugastor,fecundus,Eleutherodactylus fecundus ,,CR
AMPHIBIA,Craugastor,fleischmanni,Eleutherodactylus engytympanum|Eleutherodactylus euryglossus|Eleutherodactylus fleischmanni|Hylodes euryglossus|Hylodes fleischmanni|Liohyla engytympanum|Liohyla fleischmanni|Lithodytes euryglossus,Fleischmann's robber frog,CR
AMPHIBIA,Craugastor,glaucus,,,CR
AMPHIBIA,Craugastor,greggi,Eleutherodactylus chiquito  ,Gregg's stream frog,CR
AMPHIBIA,Craugastor,guerreroensis,Eleutherodactylus guerreroensis,Guerreran robber frog,CR
AMPHIBIA,Craugastor,gulosus,Eleutherodactylus gulosus|Hylodes gulosus|Lithodytes gulosus,,CR
AMPHIBIA,Craugastor,hobartsmithi,,,EN
AMPHIBIA,Craugastor,inachus,,,EN
AMPHIBIA,Craugastor,laevissimus,Eleutherodactylus laevissimus  |Hylodes laevissimus  ,,EN
AMPHIBIA,Craugastor,lauraster,,,EN
AMPHIBIA,Craugastor,lineatus,Eleutherodactylus lineatus|Eleutherodactylus macdougalli  ,Montane robber frog,CR
AMPHIBIA,Craugastor,matudai,,,VU
AMPHIBIA,Craugastor,megalotympanum,,,CR
AMPHIBIA,Craugastor,merendonensis,Eleutherodactylus merendonensis,San Pedro robber frog,CR
AMPHIBIA,Craugastor,milesi,Eleutherodactylus milesi  ,Miles' robber frog,CR
AMPHIBIA,Craugastor,montanus,Craugastor sartori  |Eleutherodactylus montanus  |Microbatrachylus montanus  ,,EN
AMPHIBIA,Craugastor,obesus,Eleutherodactylus obesus|Syrrhopus obesus,,CR
AMPHIBIA,Craugastor,olanchano,Eleutherodactylus olanchano  ,,CR
AMPHIBIA,Craugastor,omiltemanus,,,EN
AMPHIBIA,Craugastor,omoaensis,,,CR
AMPHIBIA,Craugastor,pechorum,Eleutherodactylus pechorum  ,,EN
AMPHIBIA,Craugastor,persimilis,Eleutherodactylus persimilis|Microbatrachyls persimilis,,VU
AMPHIBIA,Craugastor,polymniae,,Sierra Juarez robber frog,CR
AMPHIBIA,Craugastor,pozo,,,CR
AMPHIBIA,Craugastor,psephosypharus,,,VU
AMPHIBIA,Craugastor,punctariolus,,,EN
AMPHIBIA,Craugastor,pygmaeus,Eleutheridactylus pygmaeus,Pygmy free-fingered frog,VU
AMPHIBIA,Craugastor,ranoides,Eleutherodactylus pittieri|Eleutherodactylus ranoides|Hylodes pittieri|Hylodes ranoides|Liohyla pittieri|Liohyla ranoides|Lithodytes  ranoides,,CR
AMPHIBIA,Craugastor,rhodopis,Eleutherodactylus rhodopis|Hylodes plicatus|Hylodes rhodopis,Polymorphic robber frog,VU
AMPHIBIA,Craugastor,rhyacobatrachus,Eleutherodactylus rhyacobatrachus,,EN
AMPHIBIA,Craugastor,rivulus,Eleutherodactylus rivulus  ,,VU
AMPHIBIA,Craugastor,sabrinus,,Long-legged streamfrog,EN
AMPHIBIA,Craugastor,saltuarius,,,CR
AMPHIBIA,Craugastor,sandersoni,Eleutherodactylus sandersoni  ,Sanderson's streamfrog,EN
AMPHIBIA,Craugastor,silvicola,,,EN
AMPHIBIA,Craugastor,spatulatus,,,EN
AMPHIBIA,Craugastor,stadelmani,Eleutherodactylus stadelmani,,CR
AMPHIBIA,Craugastor,stuarti,,,EN
AMPHIBIA,Craugastor,tabasarae,,,CR
AMPHIBIA,Craugastor,tarahumaraensis,,,VU
AMPHIBIA,Craugastor,taurus,Eleutherodactylus taurus,Golfito robber frog,CR
AMPHIBIA,Craugastor,trachydermus,Eleutherodactylus trachydermus,,CR
AMPHIBIA,Craugastor,uno,Eleutherodactylus uno,,EN
AMPHIBIA,Craugastor,vulcani,Eleutherodactylus vulcani  ,,EN
AMPHIBIA,Craugastor,xucanebi,,,VU
AVES,Crax,alberti,,Blue-billed curassow,CR
AVES,Crax,alector,,Black curassow,VU
AVES,Crax,blumenbachii,,Red-billed curassow,EN
AVES,Crax,fasciolata,,Bare-faced curassow,VU
AVES,Crax,globulosa,,Wattled curassow,EN
AVES,Crax,pinima,,Belem curassow,CR
AVES,Crax,rubra,,Great curassow,VU
INSECTA,Crematogaster,atilanica,,,VU
INSECTA,Crematogaster,pilosa,Crematogaster creightoni  ,,VU
MAMMALIA,Cremnomys,elvira,Rattus elvira  ,Large rock-rat,CR
INSECTA,Crenigomphus,abyssinicus,,,VU
INSECTA,Crenigomphus,denticulatus,,,VU
AMPHIBIA,Crinia,tinnula,,Tinkling froglet,VU
AVES,Criniger,olivaceus,,Yellow-bearded greenbul,VU
AVES,Crocias,langbianis,,Grey-crowned crocias,EN
MAMMALIA,Crocidura,allex,,East African highland shrew,VU
MAMMALIA,Crocidura,andamanensis,,Andaman white-toothed shrew,CR
MAMMALIA,Crocidura,ansellorum,,Ansell's shrew,EN
MAMMALIA,Crocidura,baileyi,,Bailey's shrew,EN
MAMMALIA,Crocidura,baluensis,,Kinabalu shrew,VU
MAMMALIA,Crocidura,bottegoides,,Bale shrew,EN
MAMMALIA,Crocidura,canariensis,,Canarian shrew,EN
MAMMALIA,Crocidura,desperata,,Desperate shrew,EN
MAMMALIA,Crocidura,eisentrauti,,Eisentraut's shrew,VU
MAMMALIA,Crocidura,fumosa,,Smoky white-toothed shrew,VU
MAMMALIA,Crocidura,glassi,,Glass's shrew,VU
MAMMALIA,Crocidura,harenna,,Harenna shrew,CR
MAMMALIA,Crocidura,hikmiya,,,EN
MAMMALIA,Crocidura,hispida,,Andaman spiny shrew,VU
MAMMALIA,Crocidura,jenkinsi,,Jenkin's shrew,CR
MAMMALIA,Crocidura,kivuana,,Kivu shrew,VU
MAMMALIA,Crocidura,lanosa,,Kivu long-haired shrew,EN
MAMMALIA,Crocidura,lucina,,Lucina's shrew,VU
MAMMALIA,Crocidura,macmillani,,Macmillan's shrew,VU
MAMMALIA,Crocidura,manengubae,,Manenguba shrew,VU
MAMMALIA,Crocidura,miya,,Sri Lankan long-tailed shrew,EN
MAMMALIA,Crocidura,negrina,,Negros shrew,EN
MAMMALIA,Crocidura,nicobarica,,Nicobar shrew,CR
MAMMALIA,Crocidura,orientalis,Crocidura lawuana  ,Oriental shrew,VU
MAMMALIA,Crocidura,orii,,Ryukyu shrew,EN
MAMMALIA,Crocidura,phaeura,,Guramba shrew,EN
MAMMALIA,Crocidura,picea,,Cameroonian shrew,EN
MAMMALIA,Crocidura,stenocephala,,Kahuzi swamp shrew,EN
MAMMALIA,Crocidura,tansaniana,,Tanzanian shrew,EN
MAMMALIA,Crocidura,tarella,,Tarella shrew,EN
MAMMALIA,Crocidura,telfordi,,Telford's ahrew,EN
MAMMALIA,Crocidura,thomensis,,Sao Tome,EN
MAMMALIA,Crocidura,trichura,,Christmas Island shrew,CR
MAMMALIA,Crocidura,usambarae,,Usambara shrew,EN
MAMMALIA,Crocidura,wimmeri,,Wimmer's shrew,CR
MAMMALIA,Crocidura,zimmermanni,,Cretan shrew,VU
AVES,Crossoptilon,mantchuricum,,Brown eared-pheasant,VU
INSECTA,Crotchiella,brachyptera,,,EN
MAMMALIA,Crunomys,melanius,Crunomys rabori  ,Mindanao shrew mouse,VU
AMPHIBIA,Cryptobatrachus,boulengeri,,,EN
AMPHIBIA,Cryptobatrachus,fuhrmanni,,,VU
AMPHIBIA,Cryptobatrachus,nicefori,,,CR
INSECTA,Cryptocanthon,altus,,,EN
INSECTA,Cryptocanthon,nebulinus,,,EN
INSECTA,Cryptocanthon,punctatus,,,EN
MAMMALIA,Cryptochloris,wintoni,,De Winton's golden mole,CR
MAMMALIA,Cryptochloris,zyli,,Van Zyl's golden mole,EN
AVES,Cryptoleucopteryx,plumbea,Leucopternis plumbea|Leucopternis plumbeus,Plumbeous hawk,VU
INSECTA,Cryptophaea,saukra,,,CR
MAMMALIA,Cryptoprocta,ferox,,Fossa,VU
AVES,Cryptospiza,shelleyi,,Shelley's crimson-wing,VU
MAMMALIA,Cryptotis,endersi,,Ender's small-eared shrew,EN
MAMMALIA,Cryptotis,gracilis,,Talamancan small-eared shrew,VU
MAMMALIA,Cryptotis,griseoventris,,Guatamalan small eared shrew,VU
MAMMALIA,Cryptotis,magna,,Big Mexican small-eared shrew,VU
MAMMALIA,Cryptotis,mera,,Darien small eared shrew,EN
MAMMALIA,Cryptotis,nelsoni,,Nelson's small eared shrew,CR
MAMMALIA,Cryptotis,obscura,,Grizzled Mexican small-eared shrew,VU
MAMMALIA,Cryptotis,phillipsii,,Phillip's small-eared shrew,VU
AMPHIBIA,Cryptotriton,adelos,,,EN
AMPHIBIA,Cryptotriton,alvarezdeltoroi,,,EN
AMPHIBIA,Cryptotriton,monzoni,Nototriton  monzoni ,,CR
AMPHIBIA,Cryptotriton,nasalis,Chiropterotriton nasalis|Cryptotriton wakei|Nototriton nasalis|Oedipus nasalis,Cortes salamander,EN
AMPHIBIA,Cryptotriton,veraepacis,Chiropterotriton veraepacis|Nototriton  veraepacis,Baja Verapaz salamander,CR
AVES,Crypturellus,kerriae,,Choco tinamou,VU
MAMMALIA,Ctenomys,australis,,Southern tuco-tuco,EN
MAMMALIA,Ctenomys,azarae,,Azara's tuco-tuco,VU
MAMMALIA,Ctenomys,bergi,,,VU
MAMMALIA,Ctenomys,bonettoi,,Bonetto's tuco-tuco,EN
MAMMALIA,Ctenomys,flamarioni,,Tuco-tuco of the dunes,EN
MAMMALIA,Ctenomys,lami,,,VU
MAMMALIA,Ctenomys,latro,,Mottled tuco-tuco,VU
MAMMALIA,Ctenomys,magellanicus,,Magellanic tuco-tuco,VU
MAMMALIA,Ctenomys,occultus,,Furtive tuco-tuco,EN
MAMMALIA,Ctenomys,osvaldoreigi,,,CR
MAMMALIA,Ctenomys,pilarensis,,Pilar tuco-tuco,EN
MAMMALIA,Ctenomys,pundti,,,VU
MAMMALIA,Ctenomys,rionegrensis,,,EN
MAMMALIA,Ctenomys,roigi,,,CR
MAMMALIA,Ctenomys,sociabilis,,Social tuco-tuco,CR
AVES,Culicivora,caudacuta,,Sharp-tailed tyrant,VU
MAMMALIA,Cuon,alpinus,,Dhole,EN
AVES,Curaeus,forbesi,,Forbes's blackbird,EN
AVES,Cyanochen,cyanoptera,Cyanochen cyanopterus ,Blue-winged goose,VU
AVES,Cyanolimnas,cerverai,,Zapata rail,CR
AVES,Cyanolyca,mirabilis,,White-throated jay,VU
AVES,Cyanolyca,nana,,Dwarf jay,VU
INSECTA,Cyanophrys,bertha,,,VU
AVES,Cyanopsitta,spixii,,Spix's macaw,CR
AVES,Cyanoramphus,forbesi,,Chatham parakeet,EN
AVES,Cyanoramphus,malherbi,,Malherbe's parakeet,CR
AVES,Cyanoramphus,unicolor,,Antipodes parakeet,VU
INSECTA,Cyclogomphus,gynostylus,,,VU
AVES,Cyclopsitta,coxeni,,Coxen's fig-parrot,CR
INSECTA,Cycloptiloides,canariensis,Ectatoderus canariensis  ,Canarian tiny cricket,VU
INSECTA,Cycloptilum,irregularis,,Keys scaly cricket,VU
AMPHIBIA,Cycloramphus,acangatan,,,VU
AMPHIBIA,Cycloramphus,faustoi,,,CR
MAMMALIA,Cynogale,bennettii,,Otter-civet,EN
MAMMALIA,Cynomys,mexicanus,,Mexican prairie dog,EN
MAMMALIA,Cynomys,parvidens,,Utah prairie dog,EN
AMPHIBIA,Cynops,ensicauda,,Sword-tailed newt,EN
AMPHIBIA,Cynops,orphicus,,Dayang newt,EN
AVES,Cyornis,caerulatus,Niltava caerulata caerulata,Large-billed blue-flycatcher,VU
AVES,Cyornis,ruckii,Cyornis ruecki ruecki,Rueck's blue-flycatcher,CR
AVES,Cyornis,sanfordi,Cyornis sandfordi sandfordi,Matinan flycatcher,EN
INSECTA,Cyphocerastis,uluguruensis,,Uluguru mountain grasshopper,CR
AVES,Cyrtonyx,ocellatus,,Ocellated quail,VU
MAMMALIA,Cystophora,cristata,Cystophora antillarum|Phoca cristata,Hooded seal,VU
AVES,Dacnis,berlepschi,,Scarlet-breasted dacnis,VU
AVES,Dacnis,hartlaubi,Pseudodacnis hartlaubi hartlaubi,Turquoise dacnis,VU
MAMMALIA,Dactylopsila,tatei,,Tate's triok,EN
INSECTA,Daihinibaenetes,arizonensis,,Arizona giant sand treader cricket,VU
MAMMALIA,Dama,mesopotamica,Dama dama subspecies mesopotamica,Persian fallow deer,EN
AVES,Dasycrotapha,speciosa,Stachyris speciosa speciosa,Flame-templed babbler,EN
MAMMALIA,Dasymys,montanus,,Montane shaggy rat,EN
AVES,Dasyornis,brachypterus,,Eastern bristlebird,EN
AVES,Dasyornis,longirostris,,Western bristlebird,EN
INSECTA,Dasypoda,frieseana,,,EN
AMPHIBIA,Dasypops,schirchi,,,VU
MAMMALIA,Dasyprocta,coibae,,Coiban agouti,VU
MAMMALIA,Dasyprocta,mexicana,,Mexican agouti,CR
MAMMALIA,Dasyprocta,ruatanica,,Roatan Island agouti,EN
MAMMALIA,Dasyuroides,byrnei,Dasycercus byrnei  ,Kowari,VU
MAMMALIA,Dasyurus,hallucatus,Satanellus hallucatus  ,Northern quoll,EN
MAMMALIA,Daubentonia,madagascariensis,,Aye-aye,EN
INSECTA,Deinacrida,fallai,,Poor knights weta,VU
INSECTA,Deinacrida,heteracantha,,Wetapunga,VU
INSECTA,Deinacrida,rugosa,,Stephens Island weta,VU
INSECTA,Delagrangeus,schurmanni,,,VU
MAMMALIA,Delanymys,brooksi,,Delany's mouse,VU
INSECTA,Delosia,ornata,,Desroches cockroach,CR
AVES,Dendrocolaptes,hoffmannsi,,Hoffmanns's woodcreeper,VU
AVES,Dendrocopos,noguchii,Sapheopipo noguchii ,Okinawa woodpecker,CR
AVES,Dendrocygna,arborea,,West Indian whistling-duck,VU
AVES,Dendroica,angelae,,Elfin-woods warbler,VU
AVES,Dendroica,cerulea,,Cerulean warbler,VU
AVES,Dendroica,chrysoparia,,Golden-cheeked warbler,EN
MAMMALIA,Dendrolagus,dorianus,,Doria's tree kangaroo,VU
MAMMALIA,Dendrolagus,goodfellowi,Dendrolagus buergersi  |Dendrolagus shawmayeri  ,Goodfellow's tree kangaroo,EN
MAMMALIA,Dendrolagus,inustus,,Grizzled tree kangaroo,VU
MAMMALIA,Dendrolagus,matschiei,,Huon tree kangaroo,EN
MAMMALIA,Dendrolagus,mayri,,Wondiwoi tree-kangaroo,CR
MAMMALIA,Dendrolagus,mbaiso,,Dingiso,EN
MAMMALIA,Dendrolagus,notatus,,,EN
MAMMALIA,Dendrolagus,pulcherrimus,,Golden-mantled tree kangaroo,CR
MAMMALIA,Dendrolagus,scottae,,Tenkile,CR
MAMMALIA,Dendrolagus,stellarum,,Seri's tree kangaroo,VU
MAMMALIA,Dendrolagus,ursinus,Dendrolagus leucogenys  ,Vogelkop tree kangaroo,VU
MAMMALIA,Dendromus,kahuziensis,,Mount Kahuzi African climbing mouse,CR
MAMMALIA,Dendromus,oreas,,Cameroon climbing mouse,VU
AMPHIBIA,Dendrophryniscus,carvalhoi,,,EN
AVES,Dendropicos,dorae,Dendrocopos dorae|Picoides dorae subspecies dorae,Arabian woodpecker,VU
AMPHIBIA,Dendropsophus,amicorum,,,CR
AMPHIBIA,Dendropsophus,gryllatus,,,EN
AMPHIBIA,Dendropsophus,meridensis,Hyla vilsoniana subspecies meridensis,,EN
AMPHIBIA,Dendropsophus,stingi,,,VU
AVES,Dendrortyx,barbatus,,Bearded wood-partridge,VU
AMPHIBIA,Dendrotriton,bromeliacius,Chiropterotriton  bromeliacia|Oedipus  bromeliacia ,Volcan Tajumulco bromeliad salamander,CR
AMPHIBIA,Dendrotriton,chujorum,,,CR
AMPHIBIA,Dendrotriton,cuchumatanus,Chiropterotriton  cuchumatanus ,Forest bromeliad salamander,CR
AMPHIBIA,Dendrotriton,kekchiorum,,,EN
AMPHIBIA,Dendrotriton,megarhinus,Chiropterotriton  megarhinus ,Longnose bromeliad salamander,VU
AMPHIBIA,Dendrotriton,rabbi,Chiropterotriton  rabbi ,Guatemalan bromeliad salamander,CR
AMPHIBIA,Dendrotriton,sanctibarbarus,Nototriton  sanctibarbarus ,,VU
AMPHIBIA,Dendrotriton,xolocalcae,Bolitoglossa  xolocalcae |Chiropterotriton  xolocalcae,Xolocalca bromeliad salamander,VU
INSECTA,Dericorys,minutus,,Maspalomas bow-legged grasshopper,CR
AMPHIBIA,Dermophis,mexicanus,Dermophis  eburatus |Dermophis  septentrionalis |Gymnophis clarkii |Siphonops mexicanus,Mexican caecilian,VU
INSECTA,Deronectes,aljibensis,,,EN
INSECTA,Deronectes,depressicollis,,,VU
INSECTA,Deronectes,ferrugineus,,,VU
MAMMALIA,Desmana,moschata,,Russian desman,VU
MAMMALIA,Desmomys,yaldeni,,Yalden's desmomys,EN
