class,genus,species,synonyms,common_names,status
AMPHIBIA,Agalychnis,lemur,Hylomantis lemur|Phyllomedusa lemur,Lemur leaf frog,CR
AMPHIBIA,Agalychnis,litodryas,,Pink-sided treefrog,VU
AMPHIBIA,Agalychnis,moreletii,Agalychnis holochlora|Hyla holochlora|Hyla moreletii|Phyllomedusa moreletii,Black-eyed leaf frog,CR
AVES,Agamia,agami,,Agami heron,VU
AVES,Agapornis,nigrigenis,,Black-cheeked lovebird,VU
AVES,Agelaius,tricolor,,Tricoloured blackbird,EN
AVES,Agelaius,xanthomus,,Yellow-shouldered blackbird,EN
AVES,Agelastes,meleagrides,,White-breasted guineafowl,VU
AVES,Aglaeactis,aliciae,,Purple-backed sunbeam,EN
AVES,Aglaiocercus,berlepschi,,Venezuelan sylph,EN
INSECTA,Aglaothorax,longipennis,Neduba longipennis  ,Santa Monica shieldback katydid,CR
AMPHIBIA,Aglyptodactylus,laticeps,,,EN
INSECTA,Agriocnemis,angustirami,,,VU
AVES,Agriornis,albicauda,Agriornis andicola / Agriornis andicola albicauda,White-tailed shrike-tyrant,VU
MAMMALIA,Ailuropoda,melanoleuca,,Giant panda,EN
MAMMALIA,Ailurops,melanotis,,Talaud bear cuscus,CR
MAMMALIA,Ailurops,ursinus,Phalanger ursinus  ,Bear cuscus,VU
MAMMALIA,Ailurus,fulgens,,Red panda,VU
MAMMALIA,Akodon,latebricola,Microxus latebricola  ,Ecuadorean grass mouse,VU
MAMMALIA,Akodon,surdus,,Silent grass mouse,VU
INSECTA,Alaena,margaritacea,,,VU
AVES,Alauda,razae,,"Raso Lark, Raza Island lark",CR
AMPHIBIA,Albericus,siegfriedi,,,CR
AVES,Alcedo,euryzona,,Javan blue-banded kingfisher,CR
AVES,Alcippe,variegaticeps,Pseudominla variegaticeps,Gold-fronted fulvetta,VU
AVES,Alectrurus,risora,Alectrurus risorus risorus|Yetapa risoria risoria,Strange-tailed tyrant,VU
AVES,Alectrurus,tricolor,,Cock-tailed tyrant,VU
AVES,Alethe,choloensis,,Thyolo alethe,EN
AMPHIBIA,Alexteroon,jynx,,,CR
MAMMALIA,Allactaga,tetradactyla,,Four-toed jerboa,VU
INSECTA,Allaga,ambigua,,Zanzibar giant forest grasshopper,CR
AMPHIBIA,Allobates,chalcopis,Colostethus chalcopis  ,Martinique volcano frog,VU
AMPHIBIA,Allobates,humilis,Colostethus humilis  ,,VU
AMPHIBIA,Allobates,juanii,Colostethus juanii  ,,CR
AMPHIBIA,Allobates,kingsburyi,Colostethus kingsburyi  ,,EN
AMPHIBIA,Allobates,mandelorum,Colostethus mandelorum  ,,EN
AMPHIBIA,Allobates,olfersioides,Colostethus olfersioides|Eupemphix olfersioides  |Phyllobates alagoanus  |Phyllobates capixaba  |Phyllobates carioca  ,Rio rocket frog,VU
AMPHIBIA,Allobates,ranoides,Colostethus ranoides   ,,EN
AMPHIBIA,Allobates,subfolionidificans,Colostethus subfolionidificans  ,,VU
AMPHIBIA,Allobates,wayuu,Colostethus wayuu  ,,VU
